Voyage date,Vessel name,Vessel master,Vessel cargo,Port of origin,Destination port,Voyage type
1851-11-15,George Emory,James M. Bachelder,"Merchandise, Ballast  ",San Francisco,Olympia,Inbound
1851-11-15,Exact,Isaiah Folger,"Ballast, stores",Portland,Olympia,Inbound
1851-11-19,George Emory,Enoch S. Fowler,"Piles, Shingles & Potatoes",Olympia,San Francisco,Outbound
1851-11-19,Exact,Isaiah Folgers,Ship Stores & Ballast,Olympia,Queen Charlotte's Islands,Outbound
1851-11-28,Beaver,Charles E. Stuart,Ballast & Stores,Victoria,Olympia,Inbound
1851-11-28,Mary Dare,William Alexander Mouat,Merchandise,Victoria,Olympia,Inbound
1851-11-29,Orbit,Hugh A. Goldsborough,Ship Timber & Singles,Olympia,Hawaiian Islands,Outbound
1851-12-10,Damariscove,Lafayette Balch,"Trade Goods, Ballast, Stores",Queen Charlotte's Islands,Olympia,Inbound
1851-12-19,Damariscove,Lafayette Balch,Ship Stores & Ballast,Olympia,Queen Charlotte's Islands,Outbound
1852-01-09,G. W. Kendall,A. B. Gove,"Merchandise, Ballast  ",San Francisco,Olympia,Inbound
1852-01-09,Susan Sturges,John C. Huffington,Merchandise  ,San Francisco,Olympia,Inbound
1852-01-09,John Davis,George Hummer,,San Francisco,Olympia,Inbound
1852-01-20,Alice,James Cooper,"Ballast, stores",Victoria,Olympia,Inbound
1852-02-02,Susan Sturges,John C. Huffington,"Shingles, Oak Timber, Piles, Oats & Potatoes",Olympia,San Francisco,Outbound
1852-02-03,Damariscove,Lafayette Balch,,Queen Charlotte's Islands,Olympia,Inbound
1852-02-03,G. W. Kendall,A. B. Gove,Piles & Sheep,Olympia,San Francisco,Outbound
1852-02-06,Beaver,John Swanson,Live Stock (Cattle & Sheep),Olympia,Victoria,Outbound
1852-02-06,Mary Dare,William Alexander Mouat,Live Stock (Cattle & Sheep),Olympia,Victoria,Outbound
1852-02-16,Mary Dare,William Alexander Mouat,,Victoria,Olympia,Inbound
1852-02-23,Damariscove,Lafayette Balch,Ship Stores & Ballast,Olympia,Queen Charlotte's Islands,Outbound
1852-03-01,Mary Taylor,H. M. Hutchinson,"Mds. Mill Irons, Printing Press & c",Astoria,Olympia,Inbound
1852-03-02,Alice,James Cooper,,Victoria,Olympia,Inbound
1852-03-16,Franklin,G. W. Pinkham,Ship Stores & Ballast,Olympia,Queen Charlotte's Islands,Outbound
1852-03-23,G. W. Kendall,A. B. Gove,Merchandise,San Francisco,Olympia,Inbound
1852-03-25,Cynosure,Enoch S. Fowler,Merchandise,San Francisco,Olympia,Inbound
1852-03-26,Exact,Isaiah Folger,"Ballast, stores",Queen Charlotte's Islands,Olympia,Inbound
1852-03-27,Leonesa,Dan S. Howard,"Merchandise, ballast",San Francisco,Olympia,Inbound
1852-03-27,Leonesa,Dan S. Howard,"12,000 ft Piles",Olympia,San Francisco,Outbound
1852-04-03,Franklin,G. W. Pinkham,"Ballast, stores",,Olympia,Inbound
1852-04-05,Honolulu Packet,William R. Pattle,"Merchandise, Ballast  ",Victoria,Olympia,Inbound
1852-04-05,Franklin,G. W. Pinkham,,Olympia,San Francisco,Outbound
1852-04-07,Damariscove,Lafayette Balch,"Ballast, stores",Queen Charlotte's Islands,Olympia,Inbound
1852-04-19,Honolulu Packet,William R. Pattle,"Ballast, stores",Victoria,Olympia,Inbound
1852-04-26,Mary Taylor,H. M. Hutchinson,,Astoria,Olympia,Inbound
1852-04-27,John Davis,George Hummer,Merchandise,San Francisco,Olympia,Inbound
1852-05-01,Franklin Adams,Leonard M. Felker,Merchandise,San Francisco,Olympia,Inbound
1852-05-01,Mary Taylor,H. M. Hutchinson,Ship Stores & Ballast,Olympia,Astoria,Outbound
1852-05-08,Daniel,Cory Williston,"Merchandise, Ballast, Stores",San Francisco,Olympia,Inbound
1852-05-16,Honolulu Packet,William R. Pattle,"Merchandise, Ballast, Stores",Victoria,Olympia,Inbound
1852-05-27,Mexican,William W. Hale,Ballast & Stores,Queen Charlotte's Islands,Olympia,Inbound
1852-05-28,Honolulu Packet,William R. Pattle,120 head cattle & 3 horses,Olympia,Victoria,Outbound
1852-05-29,Brontes,"Couside Thomas, Jr.",Ballast  ,San Francisco,Olympia,Inbound
1852-06-04,Leonesa,Dan S. Howard,Merchandise,San Francisco,Olympia,Inbound
1852-06-05,Cecil,Alexander B. Weeks,"Mds., Ballast & Stores",Queen Charlotte's Islands,Olympia,Inbound
1852-06-09,Franklin Adams,L. M. Felker,Piles,Olympia,San Francisco,Outbound
1852-06-17,Honolulu Packet,William R. Pattle,Ballast & Stores,Victoria,Olympia,Inbound
1852-06-18,Jane,A. F. Scott,"Merchandise, Ballast  ",San Francisco,Olympia,Inbound
1852-06-18,Eagle,Michael L. Wolf,Ballast & Stores,Queen Charlotte's Islands,Olympia,Inbound
1852-06-19,Honolulu Packet,William R. Pattle,Ballast & Mds.,Olympia,Victoria,Outbound
1852-06-20,Mexican,W. M. Hale,,Olympia,San Francisco,Outbound
1852-06-21,Eagle,M. L. Wolf,Stores & Ballast,Olympia,San Francisco,Outbound
1852-07-12,Cecil,Alex B. Weeks,"[illegible], [illegible], wood & oil/Laths, cord wood & oil",Olympia,San Francisco,Outbound
1852-07-20,Damariscove,Eli Hathaway,Merchandise,Olympia,Victoria,Outbound
1852-07-26,Jane,W. M. Anderson,Lumber & Piles,Olympia,San Francisco,Outbound
1852-08-01,Jane,C. Huffington,Merchandise,San Francisco,Olympia,Inbound
1852-08-07,John Davis,George Hummer,Merchandise,Victoria,Olympia,Inbound
1852-08-15,Louisiana,Alfred Drew,"Granite as ballast, 167 passengers San Fran","San Francisco, Hong Kong",Olympia,Inbound
1852-08-16,Brontes,C. Thomas,"Merchandise, ballast",San Francisco,Olympia,Inbound
1852-08-21,George Emory,J. W. Wilson,"Merchandise, ballast",San Francisco,Olympia,Inbound
1852-09-23,James Marshall,Christopher Ellery,"Merchandise, ballast",San Francisco,Olympia,Inbound
1852-09-23,Mary Taylor,H. M. Hutchinson,"Merchandise, ballast",Port Townsend,Olympia,Inbound
1852-09-30,Thracian,Albert F. Scott,"Merchandise, ballast",San Francisco,Olympia,Inbound
1852-10-16,Kingsbury,William S. Cook,Ballast,San Francisco,Olympia,Inbound
1852-11-16,Brontes,J. W. Waith,Ballast,San Francisco,Olympia,Inbound
1852-12-20,Merchantman,J. K. Thorndike,Ballast,San Francisco,Olympia,Inbound
1852-12-25,Mary Dare,William Alexander Mouat,Ballast,Victoria,Olympia,Inbound
1852-12-27,Sarah Warren,A. B. Gove,Merchandise,San Francisco,Olympia,Inbound
1853-01-01,Damariscove,Eli Hathaway,Oil,Clayoquot,Olympia,Inbound
1853-01-01,Mary Melville,Joseph G. Barstow,Merchandise,San Francisco,Olympia,Inbound
1853-01-01,John Adams,Henry Sewell,Merchandise,"Victoria, San Francisco",Olympia,Inbound
1853-01-15,Cynosure,Enoch S. Fowler,Saltbarrels,San Francisco,Olympia,Inbound
1853-01-18,Mason,Herman [illeg],Merchandise,San Francisco,Olympia,Inbound
1853-02-03,Mary Dare,William Alexander Mouat,Cargo,Victoria,Olympia,Inbound
1853-02-07,Mason,H. Freshorn,Timber,Olympia,San Francisco,Outbound
1853-02-10,Justina,Samuel H. Cushman,Ballast & Stores,San Francisco,Olympia,Inbound
1853-03-13,Cyclops,Edwin O. Perkins,Merchandise,San Francisco,Olympia,Inbound
1853-03-29,Jane,Edward W. Willett,Merchandise,San Francisco,Olympia,Inbound
1853-04-16,Cynosure,Enoch S. Fowler,Merchandise,San Francisco,Olympia,Inbound
1853-04-18,Reverence,C. Thomas,Merchandise,San Francisco,Olympia,Inbound
1853-05-25,Alice,Edward Trice,Potatoes & Ballast,Victoria,Olympia,Inbound
1853-06-01,Mary Adams,Jesse Harding Jane,Ballast & Stores,San Francisco,Olympia,Inbound
1853-06-24,Mary Adams,Jesse Harding Jane,Ship & Stores,Olympia,"Singapore, East Indies",Outbound
1853-07-02,Alice,Edward Trice,Merchandise,Victoria,Olympia,Inbound
1853-07-20,Persia,George W. Brown,"Merchandise, ballast",San Francisco,Olympia,Inbound
1853-07-20,John Davis,Plumber,,San Francisco,Olympia,Inbound
1853-08-16,Jane,Edward W. Willett,Merchandise,San Francisco,Olympia,Inbound
1853-09-11,L. P. Foster ,Josiah P. Keller,Merchandise,Boston,Olympia,Inbound
1853-09-22,Carib,William Boyd,Merchandise,San Francisco,Olympia,Inbound
1853-09-27,Anson,John W. Wilson,Ballast,San Francisco,Olympia,Inbound
1853-09-27,Anson,John W. Wilson,Ballast,San Francisco,Olympia,Inbound
1853-10-10,Alice,Thomas Cooper,Ballast,Victoria,Olympia,Inbound
1853-10-10,Cynosure,Enoch S. Fowler,Ballast,San Francisco,Olympia,Inbound
